"ts_number","address","city","county","date","price","details","status","page_number","raw_data","row_index","table_index"
"132241-CA","8292 Darsy Dr","Huntington Beach","","09/11/2025","","132241-CA 8292 Darsy Dr, Huntington Beach CA, 92647 09/11/2025 09:00 AM ON THE FRONT STEPS TO THE ENTRANCE OF THE ORANGE CIVIC CENTER, 300 E. CHAPMAN, ORANGE, CA 92866  From 08/07/2025 to 09/11/2025","","1","132241-CA 8292 Darsy Dr, Huntington Beach CA, 92647 09/11/2025 09:00 AM ON THE FRONT STEPS TO THE ENTRANCE OF THE ORANGE CIVIC CENTER, 300 E. CHAPMAN, ORANGE, CA 92866  From 08/07/2025 to 09/11/2025","11","1"
"131317-CA","00 PM At the Fallon Street","Oakland","","09/11/2025","","131317-CA 1609 36Th Avenue, Oakland CA, 94601 09/11/2025 12:00 PM At the Fallon Street EmergencyExit of the Alameda County Courthouse located at 1225 Fallon Street,Oakland, CA 94612  From 08/06/2025 to 09/11/2025","","1","131317-CA 1609 36Th Avenue, Oakland CA, 94601 09/11/2025 12:00 PM At the Fallon Street EmergencyExit of the Alameda County Courthouse located at 1225 Fallon Street,Oakland, CA 94612  From 08/06/2025 to 09/11/2025","12","1"
"131058-CA","626 Chetland Rd","San Leandro","","09/11/2025","","131058-CA 626 Chetland Rd, San Leandro CA, 94577 09/11/2025 12:00 PM At the Fallon Street EmergencyExit of the Alameda County Courthouse located at 1225 Fallon Street,Oakland, CA 94612  From 08/06/2025 to 09/11/2025","","1","131058-CA 626 Chetland Rd, San Leandro CA, 94577 09/11/2025 12:00 PM At the Fallon Street EmergencyExit of the Alameda County Courthouse located at 1225 Fallon Street,Oakland, CA 94612  From 08/06/2025 to 09/11/2025","13","1"
"134534-CA","00 AM At the Van Ness Avenue","Fresno","","09/11/2025","","134534-CA 4909 N 7Th St Unit V, Fresno CA, 93726 09/11/2025 10:00 AM At the Van Ness Avenue exit from the County Courthouse at 1100 Van Ness Avenue, Fresno, CA  93724","","1","134534-CA 4909 N 7Th St Unit V, Fresno CA, 93726 09/11/2025 10:00 AM At the Van Ness Avenue exit from the County Courthouse at 1100 Van Ness Avenue, Fresno, CA  93724","14","1"
"134616-CA","816 Persifer Street","Folsom","","09/11/2025","","134616-CA 816 Persifer Street, Folsom CA, 95630 09/11/2025 01:30 PM OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814","","1","134616-CA 816 Persifer Street, Folsom CA, 95630 09/11/2025 01:30 PM OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814","15","1"
"133966-CA","7002 Valentine Dr","Huntington Beach","","09/11/2025","","133966-CA 7002 Valentine Dr, Huntington Beach CA, 92647 09/11/2025 09:00 AM ON THE FRONT STEPS TO THE ENTRANCE OF THE ORANGE CIVIC CENTER, 300 E. CHAPMAN, ORANGE, CA 92866","","1","133966-CA 7002 Valentine Dr, Huntington Beach CA, 92647 09/11/2025 09:00 AM ON THE FRONT STEPS TO THE ENTRANCE OF THE ORANGE CIVIC CENTER, 300 E. CHAPMAN, ORANGE, CA 92866","16","1"
"135122-CA","6953 WALNUT AVE","Sacramento","","09/11/2025","","135122-CA 6953 WALNUT AVE, ORANGEVALE CA, 95662 09/11/2025 01:30 PM OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814","","1","135122-CA 6953 WALNUT AVE, ORANGEVALE CA, 95662 09/11/2025 01:30 PM OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814","17","1"
"133989-CA","9308 F Street","Oakland","","09/11/2025","","133989-CA 9308 F Street, Oakland CA, 94603 09/11/2025 12:00 PM At the Fallon Street EmergencyExit of the Alameda County Courthouse located at 1225 Fallon Street,Oakland, CA 94612","","1","133989-CA 9308 F Street, Oakland CA, 94603 09/11/2025 12:00 PM At the Fallon Street EmergencyExit of the Alameda County Courthouse located at 1225 Fallon Street,Oakland, CA 94612","18","1"
"119477-CA","564  Madrone Dr","Yuba City","","09/11/2025","","119477-CA 564  Madrone Dr, Yuba City CA, 95991 09/11/2025 03:00 PM At the main entrance to the old County Courthouse located at 446 Second Street, Yuba City, CA 95991  From 08/21/2025 to 09/11/2025","","1","119477-CA 564  Madrone Dr, Yuba City CA, 95991 09/11/2025 03:00 PM At the main entrance to the old County Courthouse located at 446 Second Street, Yuba City, CA 95991  From 08/21/2025 to 09/11/2025","19","1"
"122869-CA","142  Sage Sparrow Cir","Vacaville","","09/11/2025","","122869-CA 142  Sage Sparrow Cir, Vacaville CA, 95687 09/11/2025 09:30 AM At the Santa Clara Street entrance to the City Hall, 555 Santa Clara Street, Vallejo, CA 94590  From 07/10/2025 to 09/11/2025","","1","122869-CA 142  Sage Sparrow Cir, Vacaville CA, 95687 09/11/2025 09:30 AM At the Santa Clara Street entrance to the City Hall, 555 Santa Clara Street, Vallejo, CA 94590  From 07/10/2025 to 09/11/2025","20","1"
"085178-CA","25 HUMBOLDT ST","Simi Valley","","09/11/2025","","085178-CA 25 HUMBOLDT ST, SIMI VALLEY CA, 93065 09/11/2025 09:00 AM Auction.com Room, Four Points by Sheraton Ventura Harbor Resort, 1050 Schooner Drive, Ventura, CA 93001  From 07/31/2025 to 09/11/2025","","1","085178-CA 25 HUMBOLDT ST, SIMI VALLEY CA, 93065 09/11/2025 09:00 AM Auction.com Room, Four Points by Sheraton Ventura Harbor Resort, 1050 Schooner Drive, Ventura, CA 93001  From 07/31/2025 to 09/11/2025","21","1"
"125461-CA","3001 South Pacific Avenue","Santa Ana","","09/11/2025","","125461-CA 3001 South Pacific Avenue, Santa Ana CA, 92704 09/11/2025 09:00 AM ON THE FRONT STEPS TO THE ENTRANCE OF THE ORANGE CIVIC CENTER, 300 E. CHAPMAN, ORANGE, CA 92866  From 08/07/2025 to 09/11/2025","","1","125461-CA 3001 South Pacific Avenue, Santa Ana CA, 92704 09/11/2025 09:00 AM ON THE FRONT STEPS TO THE ENTRANCE OF THE ORANGE CIVIC CENTER, 300 E. CHAPMAN, ORANGE, CA 92866  From 08/07/2025 to 09/11/2025","22","1"
"124608-CA","52840 Sacramento Street","Sacramento","","09/11/2025","","124608-CA 52840 Sacramento Street, Clarksburg CA, 95612 09/11/2025 12:45 PM OUTSIDE THE REAR (NORTH) ENTRANCE TO THE CITY HALL 1110 WEST CAPITOL AVENUE, WEST SACRAMENTO, CA 95691  From 08/07/2025 to 09/11/2025","","1","124608-CA 52840 Sacramento Street, Clarksburg CA, 95612 09/11/2025 12:45 PM OUTSIDE THE REAR (NORTH) ENTRANCE TO THE CITY HALL 1110 WEST CAPITOL AVENUE, WEST SACRAMENTO, CA 95691  From 08/07/2025 to 09/11/2025","23","1"
"120297-CA","7615 Granite Ave","Sacramento","","09/11/2025","","120297-CA 7615 Granite Ave, Orangevale CA, 95662 09/11/2025 01:30 PM OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814  From 08/07/2025 to 09/11/2025","","1","120297-CA 7615 Granite Ave, Orangevale CA, 95662 09/11/2025 01:30 PM OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814  From 08/07/2025 to 09/11/2025","24","1"
"116353-CA","9440 Wentworth St","Pomona","","09/11/2025","","116353-CA 9440 Wentworth St, Sunland CA, 91040 09/11/2025 10:00 AM Behind the fountain located in Civic Center Plaza, 400 Civic Center Plaza, Pomona, CA  91766  From 08/07/2025 to 09/11/2025","","1","116353-CA 9440 Wentworth St, Sunland CA, 91040 09/11/2025 10:00 AM Behind the fountain located in Civic Center Plaza, 400 Civic Center Plaza, Pomona, CA  91766  From 08/07/2025 to 09/11/2025","25","1"
"134460-CA","7124 Wilbur Avenue","Pomona","","09/10/2025","","134460-CA 7124 Wilbur Avenue, Reseda CA, 91335 09/10/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766","","2","134460-CA 7124 Wilbur Avenue, Reseda CA, 91335 09/10/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766","1","1"
"136025-CA","3918 EAST","Stockton","","09/10/2025","","136025-CA 3918 EAST 4TH STREET, STOCKTON CA, 95206 09/10/2025 09:30 AM AT THE EAST WEBER AVENUE ENTRANCE STEPS TO THE SAN JOAQUIN COUNTY COURTHOUSE, 180 EAST WEBER AVE., STOCKTON, CA 95202","","2","136025-CA 3918 EAST 4TH STREET, STOCKTON CA, 95206 09/10/2025 09:30 AM AT THE EAST WEBER AVENUE ENTRANCE STEPS TO THE SAN JOAQUIN COUNTY COURTHOUSE, 180 EAST WEBER AVE., STOCKTON, CA 95202","2","1"
"126766-CA","32247 Whispering Springs RD","Fresno","","09/10/2025","","126766-CA 32247 Whispering Springs RD, Tollhouse CA, 93667 09/10/2025 09:00 AM WEST ENTRANCE TO THE COUNTY COURTHOUSE BREEZEWAY, FRESNO SUPERIOR COURTHOUSE, 1100 VAN NESS AVENUE, FRESNO, CA 93724  From 07/30/2025 to 09/10/2025","","2","126766-CA 32247 Whispering Springs RD, Tollhouse CA, 93667 09/10/2025 09:00 AM WEST ENTRANCE TO THE COUNTY COURTHOUSE BREEZEWAY, FRESNO SUPERIOR COURTHOUSE, 1100 VAN NESS AVENUE, FRESNO, CA 93724  From 07/30/2025 to 09/10/2025","3","1"
"127300-CA","00 AM AT THE FRONT ST","Riverside","","09/10/2025","","127300-CA 5969 Via Las Nubes, Riverside CA, 92506 09/10/2025 09:00 AM AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882  From 07/23/2025 to 09/10/2025","","2","127300-CA 5969 Via Las Nubes, Riverside CA, 92506 09/10/2025 09:00 AM AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882  From 07/23/2025 to 09/10/2025","4","1"
"129396-CA","1286 HEARTLAND DR","Manteca","","09/10/2025","","129396-CA 1286 HEARTLAND DR, MANTECA CA, 95337 09/10/2025 09:30 AM AT THE EAST WEBER AVENUE ENTRANCE STEPS TO THE SAN JOAQUIN COUNTY COURTHOUSE, 180 EAST WEBER AVE., STOCKTON, CA 95202  From 08/06/2025 to 09/10/2025","","2","129396-CA 1286 HEARTLAND DR, MANTECA CA, 95337 09/10/2025 09:30 AM AT THE EAST WEBER AVENUE ENTRANCE STEPS TO THE SAN JOAQUIN COUNTY COURTHOUSE, 180 EAST WEBER AVE., STOCKTON, CA 95202  From 08/06/2025 to 09/10/2025","5","1"
"130425-CA","8900 Running Gun Ln","Moreno Valley","","09/10/2025","","130425-CA 8900 Running Gun Ln, Moreno Valley CA, 92557 09/10/2025 09:00 AM AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882  From 08/06/2025 to 09/10/2025","","2","130425-CA 8900 Running Gun Ln, Moreno Valley CA, 92557 09/10/2025 09:00 AM AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882  From 08/06/2025 to 09/10/2025","6","1"
"130470-CA","30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PL","Los Angeles","","09/10/2025","","130470-CA 641W 127Th St, Los Angeles CA, 90044 09/10/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766  From 07/23/2025 to 09/10/2025","","2","130470-CA 641W 127Th St, Los Angeles CA, 90044 09/10/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766  From 07/23/2025 to 09/10/2025","7","1"
"133543-CA","1998 Calaveras Drive","Pittsburg","","09/10/2025","","133543-CA 1998 Calaveras Drive, Bay Point CA, 94565 09/10/2025 01:30 PM AT THE NORTH SIDE OF THE PITTSBURG CIVIC CENTER OUTSIDE NEAR THE GRASS LOCATED AT 65 CIVIC AVENUE, PITTSBURG, CA 94565  From 08/06/2025 to 09/10/2025","","2","133543-CA 1998 Calaveras Drive, Bay Point CA, 94565 09/10/2025 01:30 PM AT THE NORTH SIDE OF THE PITTSBURG CIVIC CENTER OUTSIDE NEAR THE GRASS LOCATED AT 65 CIVIC AVENUE, PITTSBURG, CA 94565  From 08/06/2025 to 09/10/2025","8","1"
"128366-CA","3118 Walnut St","Huntington Park","","09/10/2025","","128366-CA 3118 Walnut St, Huntington Park CA, 90255 09/10/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766","","2","128366-CA 3118 Walnut St, Huntington Park CA, 90255 09/10/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766","9","1"
"128948-CA","65 CIVIC AVENUE","Richmond","","09/10/2025","","128948-CA 745 36Th Street, Richmond CA, 94805 09/10/2025 01:30 PM AT THE NORTH SIDE OF THE PITTSBURG CIVIC CENTER OUTSIDE NEAR THE GRASS LOCATED AT 65 CIVIC AVENUE, PITTSBURG, CA 94565","","2","128948-CA 745 36Th Street, Richmond CA, 94805 09/10/2025 01:30 PM AT THE NORTH SIDE OF THE PITTSBURG CIVIC CENTER OUTSIDE NEAR THE GRASS LOCATED AT 65 CIVIC AVENUE, PITTSBURG, CA 94565","10","1"
"134308-CA","821 N Humboldt St","San Mateo","","09/10/2025","","134308-CA 821 N Humboldt St, San Mateo CA, 94401 09/10/2025 01:00 PM MARSHALL ST. ENTRANCE, SAN MATEO COUNTY COURTHOUSE, SOUTHERN BRANCH HALL OF JUSTICE & RECORDS, 400 COUNTY CENTER, REDWOOD CITY, CA 94063","","2","134308-CA 821 N Humboldt St, San Mateo CA, 94401 09/10/2025 01:00 PM MARSHALL ST. ENTRANCE, SAN MATEO COUNTY COURTHOUSE, SOUTHERN BRANCH HALL OF JUSTICE & RECORDS, 400 COUNTY CENTER, REDWOOD CITY, CA 94063","11","1"
"131631-CA","2760 E SAN ANGELO RD","Corona","","09/10/2025","","131631-CA 2760 E SAN ANGELO RD, PALM SPRINGS CA, 92262 09/10/2025 09:00 AM AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882","","2","131631-CA 2760 E SAN ANGELO RD, PALM SPRINGS CA, 92262 09/10/2025 09:00 AM AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882","12","1"
"133606-CA","30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PL","Inglewood","","09/10/2025","","133606-CA 2912 W. Century Blvd, Inglewood CA, 90303 09/10/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766","","2","133606-CA 2912 W. Century Blvd, Inglewood CA, 90303 09/10/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766","13","1"
"133970-CA","00 AM AT THE FRONT ST","Murrieta","","09/10/2025","","133970-CA 38183 Via Del Largo, Murrieta CA, 92563 09/10/2025 09:00 AM AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882","","2","133970-CA 38183 Via Del Largo, Murrieta CA, 92563 09/10/2025 09:00 AM AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882","14","1"
"133975-CA","415 Campdell St","Pomona","","09/10/2025","","133975-CA 415 Campdell St, Playa Del Rey CA, 90293 09/10/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766","","2","133975-CA 415 Campdell St, Playa Del Rey CA, 90293 09/10/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766","15","1"
"133981-CA","460 North Civic Drive","Walnut Creek","","09/10/2025","","133981-CA 460 North Civic Drive #106, Walnut Creek CA, 94596 09/10/2025 01:30 PM AT THE NORTH SIDE OF THE PITTSBURG CIVIC CENTER OUTSIDE NEAR THE GRASS LOCATED AT 65 CIVIC AVENUE, PITTSBURG, CA 94565","","2","133981-CA 460 North Civic Drive #106, Walnut Creek CA, 94596 09/10/2025 01:30 PM AT THE NORTH SIDE OF THE PITTSBURG CIVIC CENTER OUTSIDE NEAR THE GRASS LOCATED AT 65 CIVIC AVENUE, PITTSBURG, CA 94565","16","1"
"128585-CA","232 FRENCH CAMP RD","Stockton","","09/10/2025","","128585-CA 232 FRENCH CAMP RD, FRENCH CAMP CA, 95231 09/10/2025 09:30 AM AT THE EAST WEBER AVENUE ENTRANCE STEPS TO THE SAN JOAQUIN COUNTY COURTHOUSE, 180 EAST WEBER AVE., STOCKTON, CA 95202","","2","128585-CA 232 FRENCH CAMP RD, FRENCH CAMP CA, 95231 09/10/2025 09:30 AM AT THE EAST WEBER AVENUE ENTRANCE STEPS TO THE SAN JOAQUIN COUNTY COURTHOUSE, 180 EAST WEBER AVE., STOCKTON, CA 95202","17","1"
"133974-CA","2625 Birch Ave","Stockton","","09/10/2025","","133974-CA 2625 Birch Ave, Stockton CA, 95207 09/10/2025 09:30 AM AT THE EAST WEBER AVENUE ENTRANCE STEPS TO THE SAN JOAQUIN COUNTY COURTHOUSE, 180 EAST WEBER AVE., STOCKTON, CA 95202","","2","133974-CA 2625 Birch Ave, Stockton CA, 95207 09/10/2025 09:30 AM AT THE EAST WEBER AVENUE ENTRANCE STEPS TO THE SAN JOAQUIN COUNTY COURTHOUSE, 180 EAST WEBER AVE., STOCKTON, CA 95202","18","1"
"110402-CA","1 Court Street","Chico","","09/10/2025","","110402-CA 475 1/2 E 8Th Ave, Chico CA, 95926 09/10/2025 03:30 PM Outside the Main Entrance to the Butte County Courthouse located at 1 Court Street, Oroville, CA 95965  From 08/06/2025 to 09/10/2025","","2","110402-CA 475 1/2 E 8Th Ave, Chico CA, 95926 09/10/2025 03:30 PM Outside the Main Entrance to the Butte County Courthouse located at 1 Court Street, Oroville, CA 95965  From 08/06/2025 to 09/10/2025","19","1"
"123220-CA","101 E Montana Street","Pasadena","","09/10/2025","","123220-CA 101 E Montana Street, Pasadena CA, 91103 09/10/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766  From 08/06/2025 to 09/10/2025","","2","123220-CA 101 E Montana Street, Pasadena CA, 91103 09/10/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766  From 08/06/2025 to 09/10/2025","20","1"
"121566-CA","8703 W Knoll Dr","Pomona","","09/10/2025","","121566-CA 8703 W Knoll Dr Unit 101, West Hollywood CA, 90069 09/10/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766  From 08/06/2025 to 09/10/2025","","2","121566-CA 8703 W Knoll Dr Unit 101, West Hollywood CA, 90069 09/10/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766  From 08/06/2025 to 09/10/2025","21","1"
"118863-CA","30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PL","Pomona","","09/10/2025","","118863-CA 5145 Corradi Ter, Acton CA, 93510 09/10/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766  From 08/06/2025 to 09/10/2025","","2","118863-CA 5145 Corradi Ter, Acton CA, 93510 09/10/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766  From 08/06/2025 to 09/10/2025","22","1"
"121632-CA","2 Duncan Ave","Lynwood","","09/10/2025","","121632-CA 11308  1/2 Duncan Ave, Lynwood CA, 90262 09/10/2025 11:00 AM By the fountain located at 400 Civic Center Plaza, Pomona, CA 91766  From 08/06/2025 to 09/10/2025","","2","121632-CA 11308  1/2 Duncan Ave, Lynwood CA, 90262 09/10/2025 11:00 AM By the fountain located at 400 Civic Center Plaza, Pomona, CA 91766  From 08/06/2025 to 09/10/2025","23","1"
